"concept_id","concept_code","concept_name","vocabulary_id"
4280208,"66402002","Peritoneal dialysis education","SNOMED"
4032775,"14684005","Peritoneal dialysis excluding cannulation","SNOMED"
45770916,"341000124104","Peritoneal dialysis finding","SNOMED"
4195534,"676002","Peritoneal dialysis including cannulation","SNOMED"
45771047,"651000124106","Peritoneal dialysis prescription compliance","SNOMED"
4224243,"421032001","Peritoneal dialysis route","SNOMED"
4304314,"387191005","Peritoneal dialysis solution","SNOMED"
4300025,"385238005","Peritoneal dialysis solution","SNOMED"
4099721,"292761003","Peritoneal dialysis solution adverse reaction","SNOMED"
4163947,"294300002","Peritoneal dialysis solution allergy","SNOMED"
40486068,"447693007","Peritoneal dialysis technique","SNOMED"
4135982,"263529000","Peritoneal dialysis used","SNOMED"
4019623,"115500004","Post-dialysis","SNOMED"
42537068,"736190007","Post-dialysis target weight","SNOMED"
4019622,"115499008","Pre-dialysis","SNOMED"
4022107,"225283000","Priming hemodialysis lines","SNOMED"
762714,"430941000124106","Prison dialysis program","SNOMED"
4021025,"225228006","Putting additive into peritoneal dialysis bag","SNOMED"
4152005,"282828000","Recirculation of the dialysis machine","SNOMED"
4218333,"417038009","Referral for dialysis","SNOMED"
4146536,"265764009","Renal dialysis","SNOMED"
40313128,"151048001","Renal dialysis (& hemodialysis)","SNOMED"
40348035,"266809003","Renal dialysis (& hemodialysis)","SNOMED"
3561478,"1035481000000103","Renal dialysis therapy started","SNOMED"
3561479,"1035501000000107","Renal dialysis therapy stopped","SNOMED"
37016665,"712754003","Replacement of continuous ambulatory peritoneal dialysis transfer set","SNOMED"
40487114,"449394000","Replacement of peritoneal dialysis transfer set","SNOMED"
45763570,"571000124100","Requires additional education about peritoneal dialysis","SNOMED"
4021014,"225281003","Reversing hemodialysis lines","SNOMED"
4076634,"224967001","Revision of cannula for dialysis","SNOMED"
3546077,"867101000000103","Rupture of dialysis arteriovenous shunt","SNOMED"
3546044,"865831000000106","Rupture of dialysis vascular access","SNOMED"
3545834,"856191000000104","Ruptured aneurysm of dialysis vascular access","SNOMED"
762723,"431041000124104","Satellite dialysis facility","SNOMED"
4081569,"241103007","Skeletal survey - dialysis","SNOMED"
4081570,"241104001","Skeletal survey - dialysis follow-up","SNOMED"
4172973,"424211001","Solution for hemofiltration","SNOMED"
4020892,"225231007","Stab peritoneal dialysis","SNOMED"
4002872,"11932001","Stabilizing hemodialysis","SNOMED"
44783963,"698074000","Sustained low-efficiency dialysis","SNOMED"
4080172,"238322004","Tidal peritoneal dialysis","SNOMED"
35609512,"1082851000000108","Treatment Escalation Plan decision - appropriate for dialysis","SNOMED"
35609513,"1082861000000106","Treatment Escalation Plan decision - not appropriate for dialysis","SNOMED"
45769137,"707722005","Twelve hours after peritoneal dialysis","SNOMED"
45769136,"707720002","Two hours after peritoneal dialysis","SNOMED"
4137660,"263636009","Type of hemodialysis","SNOMED"
4086914,"243779008","Venous port blood sampling during hemodialysis","SNOMED"
762715,"430951000124108","Veteran's administration dialysis program","SNOMED"
4021037,"225282005","Washing back through hemodialysis lines","SNOMED"
